Title,URL,Date Created,Summary
"[긴급진단] 고전 면치 못하는 삼성전자 주가, '6만전자' 언제 탈출하나 - 인포스탁데일리",http://www.infostockdaily.co.kr/news/articleView.html?idxno=171144,"Wed, 20 Apr 2022 23:24:21 GMT","[긴급진단] 고전 면치 못하는 삼성전자 주가, '6만전자' 언제 탈출하나  인포스탁데일리"
"해외 팁스터 ""삼성전자 미디어텍 AP 구입"", 갤럭시S22FE에 탑재하나 - 비즈니스포스트",http://www.businesspost.co.kr/BP?command=article_view&num=278541,"Thu, 21 Apr 2022 07:02:23 GMT","해외 팁스터 ""삼성전자 미디어텍 AP 구입"", 갤럭시S22FE에 탑재하나  비즈니스포스트"
“IT기업 저만큼 올렸는데”…임금협상에 속타는 삼성전자 - 게임동아,https://www.donga.com/news/Economy/article/all/20220420/112993496/1,"Wed, 20 Apr 2022 10:29:00 GMT",“IT기업 저만큼 올렸는데”…임금협상에 속타는 삼성전자  게임동아
"삼성디스플레이, QD 수율 개선… OLED 사업 탄력 - 뉴데일리경제",https://biz.newdaily.co.kr/site/data/html/2022/04/20/2022042000271.html,"Wed, 20 Apr 2022 14:19:02 GMT","삼성디스플레이, QD 수율 개선… OLED 사업 탄력  뉴데일리경제"
"[경톡434회] 삼성전자, 역대급 실적에도 주가는 곤두박질...왜? - 인포스탁데일리",https://www.infostockdaily.co.kr/news/articleView.html?idxno=171166,"Thu, 21 Apr 2022 07:29:48 GMT","[경톡434회] 삼성전자, 역대급 실적에도 주가는 곤두박질...왜?  인포스탁데일리"
한종희 삼성전자 대표·노태원 서울대 교수 과기훈장 - 서울신문,https://www.seoul.co.kr/news/newsView.php?id=20220421500161,"Thu, 21 Apr 2022 07:12:00 GMT",한종희 삼성전자 대표·노태원 서울대 교수 과기훈장  서울신문
삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어(종합) - 연합뉴스,https://www.yna.co.kr/view/AKR20220420161251002?section=economy/all&site=major_news04,"Thu, 21 Apr 2022 07:29:23 GMT",삼성전자 코스피 시총 비중 3년만에 최소…18%대로 줄어(종합)  연합뉴스
삼성전자·CJ푸드빌 맞손…빕스 전 지점서 ‘비스포크 큐커’ 기획존 운영 - NSP통신,http://m.nspna.com/news/?mode=view&newsid=566834,"Thu, 21 Apr 2022 06:39:00 GMT",삼성전자·CJ푸드빌 맞손…빕스 전 지점서 ‘비스포크 큐커’ 기획존 운영  NSP통신
삼성전자 실적은 좋은데 주가는 왜? 560만 주주의 고민 - 한겨레,https://m.hani.co.kr/arti/economy/finance/1039404.html,"Mon, 18 Apr 2022 08:24:15 GMT",삼성전자 실적은 좋은데 주가는 왜? 560만 주주의 고민  한겨레
"삼성전자, 출장·회식 재개…부분적 일상 회복 추진 - 조선비즈 - 조선비즈",https://biz.chosun.com/it-science/ict/2022/04/11/M325O6DVLJGCXKLDQPYGWLY7FY/,"Mon, 11 Apr 2022 07:00:00 GMT","삼성전자, 출장·회식 재개…부분적 일상 회복 추진 - 조선비즈  조선비즈"
